shared_buffers,work_mem,relid,relname,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_hot_upd,n_tup_del,n_live_tup,n_dead_tup
128MB,4MB,16773,sbtest4,165993,320211,108382,3686,1747,1693,106758,4353
128MB,4MB,16871,sbtest11,166999,342310,108408,3832,1833,1737,106723,4448
128MB,4MB,16785,sbtest5,166591,333604,108388,3762,1817,1728,106692,4426
128MB,4MB,17054,sbtest24,166355,350635,108297,3800,1809,1733,106610,4453
128MB,4MB,16895,sbtest13,166827,343893,108265,3755,1803,1782,106554,4562
128MB,4MB,16974,sbtest18,166660,343581,108337,3904,1840,1710,106690,4468
128MB,4MB,16942,sbtest16,167509,351338,108392,3873,1817,1715,106750,4644
128MB,4MB,16986,sbtest19,168015,349375,108274,3939,1895,1787,106565,4724
128MB,4MB,16761,sbtest3,166797,349615,108212,3811,1821,1686,106573,4395
128MB,4MB,16821,sbtest8,166422,335102,108305,3806,1877,1698,106686,4428
128MB,4MB,16859,sbtest10,167806,358546,108447,4047,1904,1753,106753,4581
128MB,4MB,16962,sbtest17,166996,338935,108179,3715,1753,1784,106457,4446
128MB,4MB,16918,sbtest14,166886,338475,108391,3757,1754,1722,106728,4514
128MB,4MB,16847,sbtest9,168072,358917,108303,4035,1936,1748,106613,4543
128MB,4MB,16809,sbtest7,166139,331794,108327,3757,1764,1698,106693,4385
128MB,4MB,17030,sbtest22,166960,349920,108336,3831,1782,1713,106680,4325
128MB,4MB,16998,sbtest20,166410,329528,108196,3785,1778,1680,106589,4415
128MB,4MB,16797,sbtest6,167021,336782,108033,3782,1798,1737,106310,4292
128MB,4MB,17042,sbtest23,165193,312804,108038,3435,1615,1689,106414,4134
128MB,4MB,16930,sbtest15,167492,350423,108219,3916,1864,1728,106552,4493
128MB,4MB,16749,sbtest2,166905,329950,108219,3724,1822,1713,106577,4313
128MB,4MB,16737,sbtest1,12299267,16335124,108294,3961,1890,1808,106547,4574
128MB,4MB,17014,sbtest21,166986,350323,108430,3830,1798,1750,106746,4325
128MB,4MB,16883,sbtest12,167384,343070,108337,3843,1844,1762,106634,4547
128MB,4MB,16773,sbtest4,170387,329807,108575,4359,2161,1713,106931,4699
128MB,4MB,16871,sbtest11,171671,358294,108623,4606,2324,1770,106905,4825
128MB,4MB,16785,sbtest5,171010,344700,108621,4490,2268,1744,106909,4765
128MB,4MB,17054,sbtest24,171147,366627,108529,4595,2308,1770,106805,4885
128MB,4MB,16895,sbtest13,171524,358257,108494,4539,2296,1808,106757,5012
128MB,4MB,16974,sbtest18,171373,359315,108600,4677,2336,1743,106920,4887
128MB,4MB,16942,sbtest16,171823,359945,108609,4630,2298,1728,106954,5052
128MB,4MB,16986,sbtest19,172607,361524,108496,4705,2370,1807,106767,5136
128MB,4MB,16761,sbtest3,171279,362054,108395,4575,2320,1712,106730,4838
128MB,4MB,16821,sbtest8,171210,352039,108560,4634,2396,1729,106910,4835
128MB,4MB,16859,sbtest10,172470,374009,108679,4899,2447,1779,106959,5096
128MB,4MB,16962,sbtest17,171674,352380,108399,4445,2218,1812,106649,4795
128MB,4MB,16918,sbtest14,171310,350789,108599,4487,2224,1747,106911,4916
128MB,4MB,16847,sbtest9,172542,373568,108557,4788,2406,1776,106839,4979
128MB,4MB,16809,sbtest7,170749,345594,108551,4497,2234,1726,106889,4811
128MB,4MB,17030,sbtest22,171684,366629,108556,4638,2294,1744,106869,4823
128MB,4MB,16998,sbtest20,170838,341300,108436,4565,2271,1700,106809,4853
128MB,4MB,16797,sbtest6,171456,349215,108256,4540,2278,1757,106513,4701
128MB,4MB,17042,sbtest23,169743,325585,108229,4136,2078,1710,106584,4506
128MB,4MB,16930,sbtest15,172140,366261,108434,4650,2338,1757,106738,4895
128MB,4MB,16749,sbtest2,171218,339631,108417,4463,2311,1731,106757,4692
128MB,4MB,16737,sbtest1,14838224,20424726,108490,4741,2403,1827,106724,4893
128MB,4MB,17014,sbtest21,171435,362027,108634,4628,2287,1769,106931,4734
128MB,4MB,16883,sbtest12,171924,356332,108573,4614,2334,1786,106846,5000
128MB,4MB,16773,sbtest4,175851,342524,108917,4407,2186,1731,107255,4579
128MB,4MB,16871,sbtest11,177125,371936,108929,4665,2354,1796,107185,4670
128MB,4MB,16785,sbtest5,176665,362509,108970,4558,2304,1774,107228,4670
128MB,4MB,17054,sbtest24,177099,388564,108896,4675,2350,1818,107124,4812
128MB,4MB,16895,sbtest13,177239,377322,108847,4616,2332,1844,107074,4886
128MB,4MB,16974,sbtest18,176996,376753,108956,4743,2365,1776,107242,4784
128MB,4MB,16942,sbtest16,177491,377034,108926,4689,2326,1755,107244,5011
128MB,4MB,16986,sbtest19,178398,380848,108865,4775,2405,1845,107098,5054
128MB,4MB,16761,sbtest3,177190,382102,108754,4648,2358,1752,107049,4710
128MB,4MB,16821,sbtest8,176957,369138,108904,4705,2430,1758,107225,4722
128MB,4MB,16859,sbtest10,178024,389402,109036,4953,2477,1810,107285,4924
128MB,4MB,16962,sbtest17,177474,370158,108751,4514,2253,1849,106964,4728
128MB,4MB,16918,sbtest14,176953,366377,108911,4541,2247,1778,107192,4750
128MB,4MB,16847,sbtest9,178393,394998,108929,4874,2451,1822,107165,4904
128MB,4MB,16809,sbtest7,176286,361975,108890,4552,2259,1755,107199,4705
128MB,4MB,17030,sbtest22,177226,383070,108845,4701,2323,1776,107126,4649
128MB,4MB,16998,sbtest20,176557,358755,108787,4632,2304,1734,107126,4754
128MB,4MB,16797,sbtest6,177194,363461,108562,4582,2299,1780,106796,4551
128MB,4MB,17042,sbtest23,175578,344502,108574,4198,2109,1751,106888,4427
128MB,4MB,16930,sbtest15,177884,385262,108791,4721,2371,1792,107060,4787
128MB,4MB,16749,sbtest2,176800,355815,108776,4520,2333,1763,107084,4567
128MB,4MB,16737,sbtest1,14843998,20443848,108808,4811,2435,1862,107007,4789
128MB,4MB,17014,sbtest21,177059,378842,108989,4692,2321,1799,107256,4614
128MB,4MB,16883,sbtest12,177726,375225,108920,4687,2372,1823,107155,4873
128MB,4MB,16773,sbtest4,179418,345025,108917,4407,2186,1731,107255,4562
128MB,4MB,16871,sbtest11,180831,374579,108929,4665,2354,1796,107185,4636
128MB,4MB,16785,sbtest5,180254,365103,108970,4558,2304,1774,107228,4652
128MB,4MB,17054,sbtest24,180734,391323,108896,4675,2350,1818,107124,4784
128MB,4MB,16895,sbtest13,180938,380028,108847,4616,2332,1844,107074,4872
128MB,4MB,16974,sbtest18,180640,379494,108956,4743,2365,1776,107242,4765
128MB,4MB,16942,sbtest16,181155,379759,108926,4689,2326,1755,107244,4989
128MB,4MB,16986,sbtest19,182135,383648,108865,4775,2405,1845,107098,5033
128MB,4MB,16761,sbtest3,180890,384876,108754,4648,2358,1752,107049,4689
128MB,4MB,16821,sbtest8,180521,371855,108904,4705,2430,1758,107225,4697
128MB,4MB,16859,sbtest10,181766,392284,109036,4953,2477,1810,107285,4907
128MB,4MB,16962,sbtest17,181033,372801,108751,4514,2253,1849,106964,4710
128MB,4MB,16918,sbtest14,180568,368997,108911,4541,2247,1778,107192,4729
128MB,4MB,16847,sbtest9,182086,397785,108929,4874,2451,1822,107165,4891
128MB,4MB,16809,sbtest7,179962,364691,108890,4552,2259,1755,107199,4684
128MB,4MB,17030,sbtest22,180907,385781,108845,4701,2323,1776,107126,4632
128MB,4MB,16998,sbtest20,180276,361470,108787,4632,2304,1734,107126,4740
128MB,4MB,16797,sbtest6,180952,366207,108562,4582,2299,1780,106796,4529
128MB,4MB,17042,sbtest23,179244,347035,108574,4198,2109,1751,106888,4396
128MB,4MB,16930,sbtest15,181592,388055,108791,4721,2371,1792,107060,4772
128MB,4MB,16749,sbtest2,180406,358402,108776,4520,2333,1763,107084,4545
128MB,4MB,16737,sbtest1,14847627,20446583,108808,4811,2435,1862,107007,4775
128MB,4MB,17014,sbtest21,180610,381496,108989,4692,2321,1799,107256,4594
128MB,4MB,16883,sbtest12,181327,377909,108920,4687,2372,1823,107155,4850
128MB,4MB,16773,sbtest4,186464,350007,108917,4407,2186,1731,107255,4550
128MB,4MB,16871,sbtest11,187803,379635,108929,4665,2354,1796,107185,4622
128MB,4MB,16785,sbtest5,187363,370317,108970,4558,2304,1774,107228,4636
128MB,4MB,17054,sbtest24,187907,396744,108896,4675,2350,1818,107124,4772
128MB,4MB,16895,sbtest13,187984,385201,108847,4616,2332,1844,107074,4863
128MB,4MB,16974,sbtest18,187802,384884,108956,4743,2365,1776,107242,4754
128MB,4MB,16942,sbtest16,188321,385123,108926,4689,2326,1755,107244,4972
128MB,4MB,16986,sbtest19,189173,388874,108865,4775,2405,1845,107098,5023
128MB,4MB,16761,sbtest3,187915,390263,108754,4648,2358,1752,107049,4675
128MB,4MB,16821,sbtest8,187493,377150,108904,4705,2430,1758,107225,4687
128MB,4MB,16859,sbtest10,188753,397529,109036,4953,2477,1810,107285,4890
128MB,4MB,16962,sbtest17,188070,377966,108751,4514,2253,1849,106964,4700
128MB,4MB,16918,sbtest14,187542,374080,108911,4541,2247,1778,107192,4714
128MB,4MB,16847,sbtest9,189171,403206,108929,4874,2451,1822,107165,4883
128MB,4MB,16809,sbtest7,186988,369917,108890,4552,2259,1755,107199,4670
128MB,4MB,17030,sbtest22,187884,391120,108845,4701,2323,1776,107126,4613
128MB,4MB,16998,sbtest20,187210,366589,108787,4632,2304,1734,107126,4730
128MB,4MB,16797,sbtest6,188007,371436,108562,4582,2299,1780,106796,4510
128MB,4MB,17042,sbtest23,186284,351972,108574,4198,2109,1751,106888,4378
128MB,4MB,16930,sbtest15,188512,393298,108791,4721,2371,1792,107060,4763
128MB,4MB,16749,sbtest2,187380,363396,108776,4520,2333,1763,107084,4534
128MB,4MB,16737,sbtest1,14854619,20451852,108808,4811,2435,1862,107007,4768
128MB,4MB,17014,sbtest21,187731,386835,108989,4692,2321,1799,107256,4581
128MB,4MB,16883,sbtest12,188222,383019,108920,4687,2372,1823,107155,4843
128MB,4MB,16773,sbtest4,194692,355790,108917,4407,2186,1731,107255,4545
128MB,4MB,16871,sbtest11,196108,385671,108929,4665,2354,1796,107185,4620
128MB,4MB,16785,sbtest5,195506,376286,108970,4558,2304,1774,107228,4629
128MB,4MB,17054,sbtest24,196033,402837,108896,4675,2350,1818,107124,4765
128MB,4MB,16895,sbtest13,196164,391245,108847,4616,2332,1844,107074,4859
128MB,4MB,16974,sbtest18,196058,391094,108956,4743,2365,1776,107242,4750
128MB,4MB,16942,sbtest16,196415,391241,108926,4689,2326,1755,107244,4970
128MB,4MB,16986,sbtest19,197477,395031,108865,4775,2405,1845,107098,5021
128MB,4MB,16761,sbtest3,196210,396507,108754,4648,2358,1752,107049,4668
128MB,4MB,16821,sbtest8,195695,383313,108904,4705,2430,1758,107225,4682
128MB,4MB,16859,sbtest10,196975,403819,109036,4953,2477,1810,107285,4882
128MB,4MB,16962,sbtest17,196351,384007,108751,4514,2253,1849,106964,4691
128MB,4MB,16918,sbtest14,195853,380021,108911,4541,2247,1778,107192,4710
128MB,4MB,16847,sbtest9,197567,409648,108929,4874,2451,1822,107165,4881
128MB,4MB,16809,sbtest7,195249,376098,108890,4552,2259,1755,107199,4669
128MB,4MB,17030,sbtest22,196096,397233,108845,4701,2323,1776,107126,4608
128MB,4MB,16998,sbtest20,195454,372634,108787,4632,2304,1734,107126,4727
128MB,4MB,16797,sbtest6,196266,377540,108562,4582,2299,1780,106796,4505
128MB,4MB,17042,sbtest23,194644,357770,108574,4198,2109,1751,106888,4374
128MB,4MB,16930,sbtest15,196939,399567,108791,4721,2371,1792,107060,4758
128MB,4MB,16749,sbtest2,195527,369249,108776,4520,2333,1763,107084,4529
128MB,4MB,16737,sbtest1,14862827,20458066,108808,4811,2435,1862,107007,4764
128MB,4MB,17014,sbtest21,195929,392939,108989,4692,2321,1799,107256,4574
128MB,4MB,16883,sbtest12,196305,389101,108920,4687,2372,1823,107155,4838
128MB,4MB,16773,sbtest4,198179,358237,108917,4407,2186,1731,107255,4545
128MB,4MB,16871,sbtest11,199765,388412,108929,4665,2354,1796,107185,4620
128MB,4MB,16785,sbtest5,199255,379090,108970,4558,2304,1774,107228,4629
128MB,4MB,17054,sbtest24,199680,405540,108896,4675,2350,1818,107124,4764
128MB,4MB,16895,sbtest13,199834,393932,108847,4616,2332,1844,107074,4859
128MB,4MB,16974,sbtest18,199735,393836,108956,4743,2365,1776,107242,4750
128MB,4MB,16942,sbtest16,200075,393906,108926,4689,2326,1755,107244,4969
128MB,4MB,16986,sbtest19,201157,397771,108865,4775,2405,1845,107098,5020
128MB,4MB,16761,sbtest3,199980,399377,108754,4648,2358,1752,107049,4667
128MB,4MB,16821,sbtest8,199256,386002,108904,4705,2430,1758,107225,4682
128MB,4MB,16859,sbtest10,200724,406679,109036,4953,2477,1810,107285,4882
128MB,4MB,16962,sbtest17,200016,386671,108751,4514,2253,1849,106964,4691
128MB,4MB,16918,sbtest14,199477,382601,108911,4541,2247,1778,107192,4710
128MB,4MB,16847,sbtest9,201262,412465,108929,4874,2451,1822,107165,4881
128MB,4MB,16809,sbtest7,198872,378799,108890,4552,2259,1755,107199,4669
128MB,4MB,17030,sbtest22,199776,399972,108845,4701,2323,1776,107126,4606
128MB,4MB,16998,sbtest20,199086,375280,108787,4632,2304,1734,107126,4727
128MB,4MB,16797,sbtest6,199835,380230,108562,4582,2299,1780,106796,4505
128MB,4MB,17042,sbtest23,198422,360431,108574,4198,2109,1751,106888,4374
128MB,4MB,16930,sbtest15,200539,402274,108791,4721,2371,1792,107060,4756
128MB,4MB,16749,sbtest2,199196,371872,108776,4520,2333,1763,107084,4529
128MB,4MB,16737,sbtest1,14866473,20460881,108808,4811,2435,1862,107007,4764
128MB,4MB,17014,sbtest21,199565,395622,108989,4692,2321,1799,107256,4573
128MB,4MB,16883,sbtest12,200012,391840,108920,4687,2372,1823,107155,4836
128MB,4MB,16773,sbtest4,207753,380049,109465,5213,2691,1777,107757,5195
128MB,4MB,16871,sbtest11,209241,412096,109485,5457,2828,1835,107702,5210
128MB,4MB,16785,sbtest5,209004,404037,109534,5432,2842,1813,107753,5282
128MB,4MB,17054,sbtest24,209264,430463,109444,5554,2878,1863,107627,5418
128MB,4MB,16895,sbtest13,209402,417405,109451,5443,2838,1885,107637,5488
128MB,4MB,16974,sbtest18,209200,418281,109524,5547,2836,1815,107771,5410
128MB,4MB,16942,sbtest16,209646,414933,109512,5501,2821,1791,107794,5614
128MB,4MB,16986,sbtest19,210216,414733,109408,5597,2939,1868,107618,5615
128MB,4MB,16761,sbtest3,209544,424594,109315,5513,2891,1793,107569,5328
128MB,4MB,16821,sbtest8,209002,411148,109459,5590,2960,1798,107740,5373
128MB,4MB,16859,sbtest10,210626,435585,109605,5869,3030,1866,107798,5537
128MB,4MB,16962,sbtest17,209315,410166,109297,5285,2724,1888,107471,5249
128MB,4MB,16918,sbtest14,208784,402667,109484,5317,2722,1811,107732,5351
128MB,4MB,16847,sbtest9,210602,436258,109460,5690,2961,1862,107656,5494
128MB,4MB,16809,sbtest7,208429,401402,109451,5372,2746,1792,107723,5267
128MB,4MB,17030,sbtest22,209093,422173,109415,5429,2767,1811,107661,5143
128MB,4MB,16998,sbtest20,208542,399593,109358,5505,2806,1774,107657,5348
128MB,4MB,16797,sbtest6,209342,403980,109077,5411,2820,1821,107270,5127
128MB,4MB,17042,sbtest23,207955,383384,109123,5009,2592,1792,107396,4951
128MB,4MB,16930,sbtest15,210098,426043,109380,5597,2878,1836,107605,5396
128MB,4MB,16749,sbtest2,208659,394748,109321,5337,2822,1804,107588,5136
128MB,4MB,16737,sbtest1,18266870,25374158,109364,5632,2909,1896,107529,5406
128MB,4MB,17014,sbtest21,208920,416036,109590,5504,2814,1828,107828,5212
128MB,4MB,16883,sbtest12,209620,417314,109508,5504,2869,1867,107699,5410
128MB,4MB,16773,sbtest4,215581,398165,109823,5926,3121,1812,108080,5579
128MB,4MB,16871,sbtest11,217136,433016,109852,6186,3272,1866,108038,5591
128MB,4MB,16785,sbtest5,216765,420328,109880,6121,3244,1839,108073,5568
128MB,4MB,17054,sbtest24,216767,446017,109760,6249,3310,1890,107916,5693
128MB,4MB,16895,sbtest13,217067,435540,109784,6115,3226,1917,107938,5836
128MB,4MB,16974,sbtest18,216795,437479,109849,6226,3248,1845,108066,5807
128MB,4MB,16942,sbtest16,217411,430602,109868,6194,3256,1816,108125,5967
128MB,4MB,16986,sbtest19,217797,431891,109765,6252,3342,1899,107944,5900
128MB,4MB,16761,sbtest3,217111,440345,109655,6208,3324,1814,107888,5598
128MB,4MB,16821,sbtest8,216689,429215,109838,6281,3391,1828,108089,5756
128MB,4MB,16859,sbtest10,218540,456197,109981,6608,3485,1898,108142,5953
128MB,4MB,16962,sbtest17,216960,427008,109636,5930,3134,1919,107779,5547
128MB,4MB,16918,sbtest14,216641,422670,109864,6011,3139,1845,108077,5749
128MB,4MB,16847,sbtest9,218103,453047,109825,6366,3376,1892,107991,5815
128MB,4MB,16809,sbtest7,215943,416885,109777,6047,3153,1815,108025,5551
128MB,4MB,17030,sbtest22,216832,440201,109770,6176,3236,1835,107992,5436
128MB,4MB,16998,sbtest20,215942,414163,109698,6160,3218,1794,107977,5632
128MB,4MB,16797,sbtest6,217165,423032,109444,6072,3228,1851,107607,5443
128MB,4MB,17042,sbtest23,215276,397057,109481,5628,2954,1814,107732,5257
128MB,4MB,16930,sbtest15,217910,446354,109727,6324,3338,1871,107917,5723
128MB,4MB,16749,sbtest2,216425,413314,109642,5979,3204,1840,107873,5445
128MB,4MB,16737,sbtest1,22201707,30519045,109681,6351,3346,1923,107819,5733
128MB,4MB,17014,sbtest21,216591,433379,109950,6209,3212,1850,108166,5538
128MB,4MB,16883,sbtest12,217263,434980,109882,6203,3314,1891,108049,5730
150MB,4MB,16773,sbtest4,217225,399360,109823,5926,3121,1812,108080,5471
150MB,4MB,16871,sbtest11,218853,434353,109852,6186,3272,1866,108038,5491
150MB,4MB,16785,sbtest5,218441,421619,109880,6121,3244,1839,108073,5492
150MB,4MB,17054,sbtest24,218557,447407,109760,6249,3310,1890,107916,5566
150MB,4MB,16895,sbtest13,218800,436869,109784,6115,3226,1917,107938,5710
150MB,4MB,16974,sbtest18,218486,438769,109849,6226,3248,1845,108066,5705
150MB,4MB,16942,sbtest16,219151,431904,109868,6194,3256,1816,108125,5806
150MB,4MB,16986,sbtest19,219494,433216,109765,6252,3342,1899,107944,5738
150MB,4MB,16761,sbtest3,218787,441641,109655,6208,3324,1814,107888,5479
150MB,4MB,16821,sbtest8,218342,430538,109838,6281,3391,1828,108089,5695
150MB,4MB,16859,sbtest10,220208,457520,109981,6608,3485,1898,108142,5841
150MB,4MB,16962,sbtest17,218669,428274,109636,5930,3134,1919,107779,5459
150MB,4MB,16918,sbtest14,218345,423924,109864,6011,3139,1845,108077,5590
150MB,4MB,16847,sbtest9,219864,454406,109825,6366,3376,1892,107991,5692
150MB,4MB,16809,sbtest7,217587,418154,109777,6047,3153,1815,108025,5425
150MB,4MB,17030,sbtest22,218647,441631,109770,6176,3236,1835,107992,5309
150MB,4MB,16998,sbtest20,217722,415510,109698,6160,3218,1794,107977,5538
150MB,4MB,16797,sbtest6,218859,424338,109444,6072,3228,1851,107607,5322
150MB,4MB,17042,sbtest23,216985,398306,109481,5628,2954,1814,107732,5156
150MB,4MB,16930,sbtest15,219581,447640,109727,6324,3338,1871,107917,5565
150MB,4MB,16749,sbtest2,218154,414590,109642,5979,3204,1840,107873,5352
150MB,4MB,16737,sbtest1,22203391,30520361,109681,6351,3346,1923,107819,5609
150MB,4MB,17014,sbtest21,218256,434694,109950,6209,3212,1850,108166,5400
150MB,4MB,16883,sbtest12,218981,436340,109882,6203,3314,1891,108049,5606
150MB,4MB,16773,sbtest4,221325,402370,109824,5926,3121,1812,108080,5429
150MB,4MB,16871,sbtest11,222947,437485,109853,6186,3272,1866,108038,5430
150MB,4MB,16785,sbtest5,222505,424712,109881,6121,3244,1839,108073,5446
150MB,4MB,17054,sbtest24,222631,450565,109761,6249,3310,1890,107916,5520
150MB,4MB,16895,sbtest13,222978,440050,109785,6115,3226,1917,107938,5671
150MB,4MB,16974,sbtest18,222518,441926,109850,6226,3248,1845,108066,5663
150MB,4MB,16942,sbtest16,223295,435057,109869,6194,3256,1816,108125,5761
150MB,4MB,16986,sbtest19,223537,436289,109766,6252,3342,1899,107944,5699
150MB,4MB,16761,sbtest3,222901,444823,109656,6208,3324,1814,107888,5421
150MB,4MB,16821,sbtest8,222466,433761,109839,6281,3391,1828,108089,5652
150MB,4MB,16859,sbtest10,224443,460869,109982,6608,3485,1898,108142,5773
150MB,4MB,16962,sbtest17,222820,431391,109637,5930,3134,1919,107779,5414
150MB,4MB,16918,sbtest14,222412,426958,109865,6011,3139,1845,108077,5541
150MB,4MB,16847,sbtest9,223921,457606,109826,6366,3376,1892,107991,5642
150MB,4MB,16809,sbtest7,221666,421276,109778,6047,3153,1815,108025,5372
150MB,4MB,17030,sbtest22,222712,444871,109771,6176,3236,1835,107992,5257
150MB,4MB,16998,sbtest20,221889,418700,109699,6160,3218,1794,107977,5497
150MB,4MB,16797,sbtest6,223002,427485,109445,6072,3228,1851,107607,5265
150MB,4MB,17042,sbtest23,221159,401355,109482,5628,2954,1814,107732,5104
150MB,4MB,16930,sbtest15,223685,450815,109728,6324,3338,1871,107917,5513
150MB,4MB,16749,sbtest2,222276,417656,109643,5979,3204,1840,107873,5309
150MB,4MB,16737,sbtest1,22207513,30523517,109682,6351,3346,1923,107819,5558
150MB,4MB,17014,sbtest21,222399,437913,109951,6209,3212,1850,108166,5350
150MB,4MB,16883,sbtest12,223097,439503,109883,6203,3314,1891,108049,5559
150MB,4MB,16773,sbtest4,226658,406238,110291,5926,3121,1812,108546,5406
150MB,4MB,16871,sbtest11,228387,441633,110403,6186,3272,1866,108587,5416
150MB,4MB,16785,sbtest5,227974,428829,110360,6121,3244,1839,108551,5430
150MB,4MB,17054,sbtest24,227932,454627,110226,6249,3310,1890,108380,5499
150MB,4MB,16895,sbtest13,228497,444237,110312,6115,3226,1917,108464,5655
150MB,4MB,16974,sbtest18,227998,446257,110328,6226,3248,1845,108543,5646
150MB,4MB,16942,sbtest16,228613,439121,110384,6194,3256,1816,108639,5745
150MB,4MB,16986,sbtest19,229030,440463,110273,6252,3342,1899,108450,5680
150MB,4MB,16761,sbtest3,228331,449094,110182,6208,3324,1814,108413,5406
150MB,4MB,16821,sbtest8,227982,438096,110341,6281,3391,1828,108590,5636
150MB,4MB,16859,sbtest10,229965,465231,110504,6608,3485,1898,108663,5757
150MB,4MB,16962,sbtest17,228166,435453,110111,5930,3134,1919,108252,5391
150MB,4MB,16918,sbtest14,227801,430961,110377,6011,3139,1845,108588,5524
150MB,4MB,16847,sbtest9,229351,461796,110342,6366,3376,1892,108506,5634
150MB,4MB,16809,sbtest7,227000,425369,110260,6047,3153,1815,108506,5352
150MB,4MB,17030,sbtest22,228114,449042,110262,6176,3236,1835,108482,5247
150MB,4MB,16998,sbtest20,227322,422832,110200,6160,3218,1794,108477,5480
150MB,4MB,16797,sbtest6,228466,431712,109946,6072,3228,1851,108107,5255
150MB,4MB,17042,sbtest23,226634,405325,109935,5628,2954,1814,108184,5086
150MB,4MB,16930,sbtest15,229144,455068,110245,6324,3338,1871,108433,5500
150MB,4MB,16749,sbtest2,227637,421668,110098,5979,3204,1840,108327,5295
150MB,4MB,16737,sbtest1,22212913,30527699,110140,6351,3346,1923,108276,5549
150MB,4MB,17014,sbtest21,227909,442229,110437,6209,3212,1850,108651,5336
150MB,4MB,16883,sbtest12,228588,443775,110337,6203,3314,1891,108502,5539
150MB,4MB,16773,sbtest4,240768,436269,111479,6013,3159,1867,109679,5456
150MB,4MB,16871,sbtest11,242683,475776,111616,6305,3331,1919,109747,5494
150MB,4MB,16785,sbtest5,241947,459389,111580,6222,3293,1891,109719,5544
150MB,4MB,17054,sbtest24,242260,492644,111495,6380,3375,1957,109582,5625
150MB,4MB,16895,sbtest13,242396,475082,111559,6218,3277,1970,109658,5754
150MB,4MB,16974,sbtest18,241996,479720,111539,6338,3305,1903,109696,5740
150MB,4MB,16942,sbtest16,243002,473887,111602,6303,3309,1875,109798,5856
150MB,4MB,16986,sbtest19,243579,476048,111499,6378,3401,1964,109611,5810
150MB,4MB,16761,sbtest3,242655,483690,111407,6327,3378,1870,109581,5530
150MB,4MB,16821,sbtest8,242226,473010,111560,6400,3445,1892,109745,5595
150MB,4MB,16859,sbtest10,244234,498946,111681,6720,3537,1956,109782,5802
150MB,4MB,16962,sbtest17,242465,470907,111307,6041,3189,1978,109389,5502
150MB,4MB,16918,sbtest14,242307,467037,111591,6143,3200,1911,109736,5641
150MB,4MB,16847,sbtest9,243812,497526,111600,6486,3431,1951,109704,5652
150MB,4MB,16809,sbtest7,241187,460224,111481,6161,3200,1867,109675,5449
150MB,4MB,17030,sbtest22,242383,481679,111532,6290,3285,1887,109700,5359
150MB,4MB,16998,sbtest20,241794,456509,111398,6272,3271,1851,109618,5566
150MB,4MB,16797,sbtest6,243204,472575,111246,6215,3295,1921,109337,5358
150MB,4MB,17042,sbtest23,241137,440646,111114,5761,3018,1872,109305,5221
150MB,4MB,16930,sbtest15,243395,489012,111460,6442,3389,1930,109589,5629
150MB,4MB,16749,sbtest2,241938,453307,111348,6086,3254,1892,109525,5378
150MB,4MB,16737,sbtest1,22227201,30560999,111310,6467,3397,1974,109394,5658
150MB,4MB,17014,sbtest21,242588,483167,111673,6355,3280,1923,109814,5465
150MB,4MB,16883,sbtest12,242835,480096,111563,6321,3365,1951,109668,5646
150MB,4MB,16773,sbtest4,256562,475109,112110,6153,3225,1939,110238,5601
150MB,4MB,16871,sbtest11,258824,524868,112267,6485,3418,2006,110311,5682
150MB,4MB,16785,sbtest5,257563,499254,112202,6351,3356,1957,110275,5696
150MB,4MB,17054,sbtest24,257894,533112,112099,6514,3437,2028,110115,5787
150MB,4MB,16895,sbtest13,258088,517109,112210,6368,3347,2043,110236,5875
150MB,4MB,16974,sbtest18,257494,517469,112148,6462,3363,1959,110249,5819
150MB,4MB,16942,sbtest16,258523,515720,112218,6451,3379,1949,110340,5995
150MB,4MB,16986,sbtest19,259048,511342,112111,6489,3451,2023,110164,5940
150MB,4MB,16761,sbtest3,258538,524649,111993,6467,3445,1939,110098,5642
150MB,4MB,16821,sbtest8,257737,508899,112139,6510,3493,1950,110266,5726
150MB,4MB,16859,sbtest10,260065,540312,112282,6859,3603,2023,110316,5972
150MB,4MB,16962,sbtest17,257924,503983,111872,6147,3237,2030,109902,5616
150MB,4MB,16918,sbtest14,258156,508566,112206,6286,3266,1984,110278,5789
150MB,4MB,16847,sbtest9,259484,536529,112211,6616,3487,2011,110255,5775
150MB,4MB,16809,sbtest7,256771,498520,112096,6295,3264,1930,110227,5596
